"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Dodgers","20","14","8","140","34","304.0","9.80","2.90","0.98",".286","77.7 %","42.8 %","11.7 %","3.20","3.25","3.38","6.3"
"Indians","18","15","10","127","33","289.2","9.85","3.11","0.93",".306","72.5 %","44.7 %","11.6 %","3.85","3.30","3.45","5.5"
"Rockies","22","13","16","145","35","316.0","7.58","3.30","1.00",".275","69.8 %","52.1 %","13.8 %","4.19","3.97","3.87","5.0"
"Diamondbacks","19","16","8","135","35","309.0","9.47","3.29","1.05",".303","73.3 %","47.8 %","12.4 %","3.90","3.59","3.64","4.8"
"Yankees","21","10","8","123","31","284.0","9.22","3.07","1.05",".279","74.5 %","46.8 %","13.0 %","3.58","3.62","3.60","4.7"
"Red Sox","17","16","10","133","33","292.2","9.41","2.92","1.20",".301","74.1 %","42.2 %","12.8 %","3.84","3.73","3.74","4.6"
"Cubs","17","17","7","150","34","316.0","9.14","3.50","1.17",".296","72.4 %","46.1 %","14.2 %","3.84","3.92","3.76","3.8"
"Astros","23","11","12","131","34","310.1","9.48","3.10","1.33",".271","80.6 %","49.1 %","17.2 %","3.42","3.98","3.48","3.8"
"Cardinals","19","14","14","144","33","301.0","8.37","3.29","1.05",".303","75.4 %","46.2 %","12.3 %","3.77","3.92","3.99","3.5"
"White Sox","15","16","5","115","31","272.2","7.62","3.27","1.06",".271","75.8 %","41.8 %","10.0 %","3.47","4.07","4.50","3.3"
"Mets","16","17","8","167","33","306.1","8.87","3.44","1.23",".312","70.2 %","48.1 %","14.7 %","4.64","4.14","3.91","3.3"
"Blue Jays","13","21","8","152","34","308.2","8.60","3.62","1.20",".302","73.9 %","46.2 %","13.4 %","4.34","4.15","4.08","3.2"
"Pirates","14","20","8","127","34","301.2","7.55","3.07","1.01",".302","71.3 %","45.3 %","11.0 %","4.06","3.99","4.22","3.1"
"Brewers","18","16","10","155","34","305.0","7.97","3.78","1.12",".320","74.0 %","45.1 %","12.1 %","4.22","4.22","4.31","3.1"
"Orioles","22","11","15","137","33","300.2","7.36","3.86","1.11",".293","78.0 %","44.0 %","11.3 %","3.95","4.40","4.61","3.1"
"Giants","12","23","8","144","35","310.1","8.29","3.22","1.04",".311","66.6 %","41.9 %","11.0 %","4.81","3.91","4.16","3.0"
"Royals","12","21","5","134","33","298.0","8.03","3.59","0.97",".291","73.0 %","46.4 %","10.6 %","4.08","3.95","4.25","2.9"
"Athletics","16","18","8","135","34","300.2","7.75","3.26","1.02",".272","66.2 %","46.7 %","11.1 %","4.25","4.05","4.28","2.8"
"Angels","17","19","10","146","36","324.0","8.78","3.00","1.44",".282","75.7 %","40.1 %","13.9 %","4.19","4.26","4.10","2.8"
"Rays","17","19","9","144","36","322.2","7.25","3.15","1.03",".277","73.5 %","43.7 %","11.3 %","3.60","4.05","4.24","2.6"
"Nationals","22","12","10","135","34","309.2","8.52","3.02","1.37",".290","73.3 %","43.2 %","13.8 %","4.27","4.24","4.10","2.5"
"Mariners","17","17","7","147","34","305.1","7.63","3.09","1.33",".295","72.6 %","42.8 %","13.4 %","4.60","4.36","4.28","2.0"
"Padres","13","22","6","142","35","309.2","8.20","3.52","1.40",".288","68.3 %","50.4 %","17.4 %","4.74","4.54","4.01","1.8"
"Tigers","16","16","9","128","32","281.2","8.08","3.99","1.31",".305","71.0 %","36.6 %","11.7 %","4.82","4.57","4.74","1.7"
"Rangers","15","20","4","137","35","312.2","6.76","3.68","1.30",".278","75.5 %","46.1 %","14.0 %","4.09","4.72","4.56","1.5"
"Reds","18","15","9","131","33","296.0","8.54","4.20","1.31",".265","72.8 %","46.3 %","15.5 %","4.38","4.58","4.25","1.5"
"Twins","16","14","8","132","30","267.0","6.98","3.61","1.28",".277","72.4 %","40.4 %","11.8 %","4.25","4.71","4.86","1.1"
"Marlins","13","20","3","145","33","296.0","7.78","4.35","1.16",".273","70.5 %","39.6 %","11.1 %","4.47","4.55","4.80","0.8"
"Braves","11","20","5","130","31","277.2","6.87","3.60","1.36",".289","67.7 %","43.0 %","13.1 %","4.93","4.78","4.74","0.5"
"Phillies","13","19","5","131","32","287.0","7.28","3.29","1.63",".285","75.3 %","40.2 %","14.6 %","4.67","4.99","4.71","0.4"
